(4928,9265)	1.0
(3790,4928)	1.0
(4928,11135)	1.0
(4928,5421)	1.0
(125,4928)	1.0
(4928,9298)	1.0
(4928,6075)	1.0
(3038,4928)	1.0
(4305,4928)	1.0
(4928,9453)	1.0
(2472,4928)	1.0
(25,4928)	1.0
(2444,4928)	1.0
(4928,9865)	1.0
(4928,5468)	1.0
(3790,9265)	1.0
(9265,11135)	1.0
(5421,9265)	1.0
(125,9265)	1.0
(9265,9298)	1.0
(6075,9265)	1.0
(3038,9265)	1.0
(4305,9265)	1.0
(9265,9453)	1.0
(2472,9265)	1.0
(25,9265)	1.0
(2444,9265)	1.0
(9265,9865)	1.0
(5468,9265)	1.0
(3790,11135)	1.0
(3790,5421)	1.0
(125,3790)	1.0
(3790,9298)	1.0
(3790,6075)	1.0
(3038,3790)	1.0
(3790,4305)	1.0
(3790,9453)	1.0
(2472,3790)	1.0
(25,3790)	1.0
(2444,3790)	1.0
(3790,9865)	1.0
(3790,5468)	1.0
(5421,11135)	1.0
(125,11135)	1.0
(9298,11135)	1.0
(6075,11135)	1.0
(3038,11135)	1.0
(4305,11135)	1.0
(9453,11135)	1.0
(2472,11135)	1.0
(25,11135)	1.0
(2444,11135)	1.0
(9865,11135)	1.0
(5468,11135)	1.0
(125,5421)	1.0
(5421,9298)	1.0
(5421,6075)	1.0
(3038,5421)	1.0
(4305,5421)	1.0
(5421,9453)	1.0
(2472,5421)	1.0
(25,5421)	1.0
(2444,5421)	1.0
(5421,9865)	1.0
(5421,5468)	1.0
(125,9298)	1.0
(125,6075)	1.0
(125,3038)	1.0
(125,4305)	1.0
(125,9453)	1.0
(125,2472)	1.0
(25,125)	1.0
(125,2444)	1.0
(125,9865)	1.0
(125,5468)	1.0
(6075,9298)	1.0
(3038,9298)	1.0
(4305,9298)	1.0
(9298,9453)	1.0
(2472,9298)	1.0
(25,9298)	1.0
(2444,9298)	1.0
(9298,9865)	1.0
(5468,9298)	1.0
(3038,6075)	1.0
(4305,6075)	1.0
(6075,9453)	1.0
